seq	lat	long
735	-99.18	19.29
736	-99.245	19.32
737	-103.39	20.655
738	-99.1	19.51
739	-99.14	19.37
740	-100.32	25.665
741	-99.12	19.39
742	-103.34	20.67
743	-99.17	19.28
744	-99.145	19.415
745	-99.11	19.37
746	-99.06	19.395
747	-99.09	19.41
748	-99.085	19.495
749	-99.075	19.395
750	-99.05	41.717
751	-99.175	19.465
752	-99.11	19.375
753	-100.375	25.685
754	-99.12	19.355
755	-99.14	19.45
756	-99.065	19.405
757	-99.17	19.385
758	-100.37	25.66
759	-103.395	20.685
760	-103.335	20.615
761	-99.24	19.39
762	-103.365	20.67
763	-99.135	19.56
764	-100.385	25.745
765	-99.085	19.445
766	-99.13	19.42
767	-99.22	19.41
768	-103.335	20.65
769	-99.19	19.455
770	-103.39	41.84
771	-100.31	25.68
772	-99.2	19.405
773	-99.11	19.48
774	-99.105	19.43
775	-99.125	19.28
776	-99.175	19.48
777	-99.13	19.305
778	-99.15	19.395
779	-99.19	19.465
780	-99.2	41.748
781	-99.135	19.375
782	-99.185	19.45
783	-100.27	25.735
784	-99.15	19.43
785	-99.1	19.38
786	-100.4	25.655
787	-99.21	19.315
788	-100.405	25.755
789	-99.19	19.445
790	-99.115	19.305
791	-99.155	41.778
792	-99.15	19.35
793	-99.165	19.345
794	-99.085	19.385
795	-99.005	19.34
796	-99.24	19.395
797	-99.16	19.32
798	-99.135	19.27
799	-100.375	25.665
800	-103.33	20.725
801	-99.22	19.415
802	-100.265	25.605
803	-99.16	19.45
804	-103.395	20.675
805	-99.25	19.385
806	-103.34	20.68
807	-99.125	19.495
808	-99.125	19.38
809	-103.36	20.64
810	-99.11	19.415
811	-100.27	25.62
812	-99.19	19.47
813	-99.09	19.42
814	-103.315	20.73
815	-103.42	20.635
816	-103.375	20.685
817	-99.26	19.38
818	-103.345	20.66
819	-103.37	20.64
820	-99.14	19.455
821	-103.335	20.69
822	-100.28	25.655
823	-103.375	20.64
824	-99.195	19.36
825	-99.125	19.375
826	-99.07	19.365
827	-99.185	19.475
828	-99.08	19.335
829	-103.395	20.66
830	-99.265	19.555
831	-100.215	25.645
832	-99.02	19.385
833	-99.135	19.33
834	-99.17	19.265
835	-99.045	19.34
836	-100.41	25.765
837	-100.305	25.675
838	-103.3	20.67
839	-103.33	41.84
840	-100.315	25.66
841	-99.19	19.41
842	-99.02	19.36
843	-99.14	19.525
844	-103.35	20.715
845	-100.405	25.76
846	-103.395	20.655
847	-100.27	25.665
848	-99.145	19.335
849	-99.13	19.44
850	-100.365	25.725
851	-99.18	19.28
852	-103.4	20.66
853	-99.16	19.455
854	-99.155	19.36
855	-99.115	19.48
856	-103.355	20.695
857	-99.195	19.385
858	-103.32	20.65
859	-99.23	19.38
860	-103.375	20.665
861	-103.385	20.645
862	-103.365	20.68
863	-99.14	19.36
864	-100.22	25.54
865	-103.4	20.665
866	-103.315	20.645
867	-99.085	19.475
868	-103.345	20.695
869	-99.18	19.495
870	-99.14	19.335
871	-103.305	20.645
872	-99.185	41.748
873	-99.16	19.51
874	-99.1	19.43
875	-103.355	20.665
876	-100.33	25.68
877	-99.15	19.365
878	-103.37	20.655
879	-99.19	19.385
880	-103.355	20.65
881	-103.395	20.665
882	-103.345	41.81
883	-99.145	19.445
884	-103.345	20.68
885	-99.04	19.34
886	-99.115	19.24
887	-99.23	19.32
888	-100.325	25.705
889	-100.255	25.59
890	-99.1	19.42
891	-99.13	19.39
892	-99.185	19.49
893	-99.175	19.49
894	-99.145	19.345
895	-99.07	19.395
896	-99.08	19.445
897	-100.415	25.765
898	-99.27	19.38
899	-100.305	25.685
